time,ms,motvel,vehvel,
Wed Jun 25 08:19:53 EDT 2014,1403698793626,0.0,0.0,
Wed Jun 25 08:19:53 EDT 2014,1403698793792,0.0,0.0,
Wed Jun 25 08:19:54 EDT 2014,1403698794243,0.0,0.0,
Wed Jun 25 08:19:54 EDT 2014,1403698794426,0.0,0.0,
Wed Jun 25 08:19:54 EDT 2014,1403698794644,0.0,0.0,
Wed Jun 25 08:19:54 EDT 2014,1403698794899,0.0,0.0,
Wed Jun 25 08:19:55 EDT 2014,1403698795272,0.0,0.0,
Wed Jun 25 08:19:58 EDT 2014,1403698798492,0.0,0.0,
Wed Jun 25 08:20:13 EDT 2014,1403698813002,0.0,0.0,
Wed Jun 25 08:20:13 EDT 2014,1403698813192,0.0,0.0,
Wed Jun 25 08:20:13 EDT 2014,1403698813388,0.0,0.0,
Wed Jun 25 08:20:13 EDT 2014,1403698813593,0.0,0.0,
Wed Jun 25 08:20:13 EDT 2014,1403698813788,0.0,0.0,
Wed Jun 25 08:20:13 EDT 2014,1403698813993,0.0,0.0,
Wed Jun 25 08:20:14 EDT 2014,1403698814190,0.0,0.0,
Wed Jun 25 08:20:53 EDT 2014,1403698853517,0.0,0.0,
Wed Jun 25 08:20:53 EDT 2014,1403698853774,0.0,0.0,
Wed Jun 25 08:20:54 EDT 2014,1403698854002,0.0,0.0,
Wed Jun 25 08:20:54 EDT 2014,1403698854214,0.0,0.0,
Wed Jun 25 08:20:54 EDT 2014,1403698854797,0.0,0.0,
Wed Jun 25 08:20:54 EDT 2014,1403698854960,0.0,0.0,
Wed Jun 25 08:20:55 EDT 2014,1403698855155,0.0,0.0,
Wed Jun 25 08:20:55 EDT 2014,1403698855360,0.0,0.0,
Wed Jun 25 08:20:55 EDT 2014,1403698855530,0.0,0.0,
Wed Jun 25 08:20:55 EDT 2014,1403698855777,0.0,0.0,
Wed Jun 25 08:20:55 EDT 2014,1403698855955,0.0,0.0,
Wed Jun 25 08:20:56 EDT 2014,1403698856201,0.0,0.0,
Wed Jun 25 08:20:57 EDT 2014,1403698857234,0.0,0.0,
Wed Jun 25 08:20:57 EDT 2014,1403698857462,0.0,0.0,
Wed Jun 25 08:20:57 EDT 2014,1403698857550,0.0,0.0,
Wed Jun 25 08:20:57 EDT 2014,1403698857714,0.0,0.0,
Wed Jun 25 08:20:57 EDT 2014,1403698857919,0.0,0.0,
Wed Jun 25 08:20:58 EDT 2014,1403698858332,0.0,0.0,
Wed Jun 25 08:20:58 EDT 2014,1403698858643,0.0,0.0,
Wed Jun 25 08:20:58 EDT 2014,1403698858772,0.0,0.0,
Wed Jun 25 08:20:58 EDT 2014,1403698858985,0.0,0.0,
Wed Jun 25 08:20:59 EDT 2014,1403698859198,0.0,0.0,
Wed Jun 25 08:20:59 EDT 2014,1403698859366,0.0,0.0,
Wed Jun 25 08:20:59 EDT 2014,1403698859755,0.0,0.0,
Wed Jun 25 08:20:59 EDT 2014,1403698859932,0.0,0.0,
Wed Jun 25 08:21:00 EDT 2014,1403698860196,0.0,0.0,
Wed Jun 25 08:21:00 EDT 2014,1403698860392,0.0,0.0,
Wed Jun 25 08:21:00 EDT 2014,1403698860803,0.0,0.0,
Wed Jun 25 08:21:00 EDT 2014,1403698860926,0.0,0.0,
Wed Jun 25 08:21:01 EDT 2014,1403698861165,0.0,0.0,
Wed Jun 25 08:21:01 EDT 2014,1403698861706,0.0,0.0,
